PMTC_Wiki__200335_bn___01794750n.html_23	83144	"play-11 ~ :ARG1 ~ ""Baroque"" | play-11 ~ :manner ~ continue-01"	As typical of Baroque continuo playing, in the tutti sections the soloists also play as part of the ensemble; while in the solo sections most of the remaining instruments in the ensemble may stop, in order to provide some transparency to the soloist(s), or may be used sparsely (in either case, the solos are accompanied thoroughly or punctuated by a harpsichord or the like, together with a violoncello da gamba or the like).
PMTC_Wiki__672775_bn___03524098n.html_24	70950	play-11 ~ :ARG0 ~ and | play-11 ~ :mod ~ unit	"They remarked ""it's doubtful that anyone ever got a richer sound out of a Mellotron on-stage than Tony Banks does on this album, and Steve Hackett, Mike Rutherford, and Phil Collins' playing is all quite amazing as a whole unit, holding together some very complex music in a live setting""."
TheQuarterlyMusicalMagazineAndReview__1824-022.txt_103	115822	play-11 ~ :ARG0 ~ band | play-11 ~ :ARG1 ~ tune | play-11 ~ :frequency ~ rate-entity-91	How can it be imagined ' that a band which four nights out of six are playing in a coarse manner, entr’act tunes, in the midst of all sorts ofnoises and the perfect disregard and contempt ef the audience, should assume the taste, precision, and excellence of execution necessary to.
PMTC_Wiki__31391023_bn___02492010n.html_18	83472	"play-11 ~ :ARG0 ~ ""Simone_Mantia"" | play-11 ~ :ARG1 ~ trombone | play-11 ~ :accompanier ~ and | play-11 ~ :mod ~ also"	"Simone Mantia also played trombone with The New York Philharmonic, The NBC Symphony, The Chicago Lyric Opera, The Philadelphia Grand Opera, Victor Herbert's Orchestra, and the Arthur Pryor Band in which Simone Mantia primarily served as baritone/euphonium soloist and assistant director (often referred to as Pryor's ""second in command"")"
PMTC_Wiki__30047438_bn___02361027n.html_18	81190	"play-11 ~ :ARG0 ~ ""Chris_Pennie"" | play-11 ~ :location ~ ""Bowery_Ballroom"" | play-11 ~ :time ~ date-entity | play-11 ~ :part ~ remainder"	"Pennie whilst playing at New York's' Bowery Ballroom in July broke his ankle half way through the set, after one of his jumps went wrong – and sat out several songs until ""Gold Digger"" when Alex Pennie rejoined his band mates for the remainder of the set."
Child__LouisSpohrsAutobiography_djvu.txt_1_695	143241	play-11 ~ :ARG1 ~ organ	First of all we were obliged to endure a great trial of our patience, in which during two somewhat tedious hours, from ten to twelve o’clock, we heard nothing but psalms, sung off in the most monotonous manner, and interrupted at intervals with barbarous peals of organ-play.
http://www.jstor.org/stable/738068_164	157	play-11 ~ :ARG0 ~ person	I have known several pianists, excellent musicans in the general sense of the word, who were possessed of the most remark- able memories and perfectly adequate technic to boot, to whose playing it was most painful for any one with a pianistically educated ear to listen.
TheMusicalWorld__1844-006.txt_845	112485	play-11 ~ :ARG0 ~ artist | play-11 ~ :ARG1 ~ piece	However, the different and inexact arrangements of those which have lately been illegally published, as well as the by no means delicate proceedings of certain artists who have played this piece in public without afixing my name, have induced me to consent to its appearance.
PMTC_Wiki__22748924_bn___01585648n.html_34	69402	"play-11 ~ :ARG0 ~ ""Georges_Barrère"" | play-11 ~ :ARG2 ~ ""New_York_Symphony_Orchestra"""	In 1905 Barrère was invited by Walter Damrosch to play for New York Symphony Orchestra (which later merged with the New York Philharmonic), a position Walter Damrosch accepted and in which Walter Damrosch remained for the rest of his life but for one break.
PMTC_Wiki__24471_bn___01902315n.html_0	63905	play-11 ~ :ARG0 ~ thing | play-11 ~ :ARG1 ~ record	A phonograph, in its later forms also called a gramophone (as a trademark since 1887, as a generic name in the UK since 1910) or since the 1940s called a record player, is a device for the mechanical recording and reproduction of sound.
